Thunder Cage,雷电囚笼,サンダープリズン,leidianqiulong,ldql
Dragon Energy,巨龙威能,ドラゴンエナジー,julongweineng,jlwn
Freezing Glare,冰冷视线,いてつくしせん,binglengshixian,blsx
Fiery Wrath,怒火中烧,もえあがるいかり,nuhuozhongshao,nhzs
Thunderous Kick,雷鸣蹴击,らいめいげり,leimingcuji,lmcj
Glacial Lance,雪矛,ブリザードランス,xuemao,xm
Astral Barrage,星碎,アストラルビット,xingsui,xs
Eerie Spell,诡异咒语,ぶきみなじゅもん,guiyizhouyu,gyzy
Dire Claw,克命爪,フェイタルクロー,kemingzhao,kmz
Psyshield Bash,屏障猛攻,バリアーラッシュ,pingzhangmenggong,pzmg
Power Shift,力量转换,パワーシフト,liliangzhuanhuan,llzh
Stone Axe,岩斧,がんせきアックス,yanfu,yf
Springtide Storm,阳春风暴,はるのあらし,yangchunfengbao,ycfb
Mystical Power,神秘之力,しんぴのちから,shenmizhili,smzl
Raging Fury,大愤慨,だいふんげき,dafenkai,dfk
Wave Crash,波动冲,ウェーブタックル,bodongchong,bdc
Chloroblast,叶绿爆震,クロロブラスト,yelübaozhen,ylbz
Mountain Gale,冰山风,ひょうざんおろし,bingshanfeng,bsf
Victory Dance,胜利之舞,しょうりのまい,shenglizhiwu,slzw
Headlong Rush,突飞猛扑,ぶちかまし,tufeimengpu,tfmp
Barb Barrage,毒千针,どくばりセンボン,duqianzhen,dqz
Esper Wing,气场之翼,オーラウイング,qichangzhiyi,qczy
Bitter Malice,冤冤相报,うらみつらみ,yuanyuanxiangbao,yyxb
Shelter,闭关,たてこもる,biguan,bg
Triple Arrows,三连箭,３ぼんのや,sanlianjian,slj
Infernal Parade,群魔乱舞,ひゃっきやこう,qunmoluanwu,qmlw
Ceaseless Edge,秘剑・千重涛,ひけん・ちえなみ,mijian・qianzhongtao,mjqzt
Bleakwind Storm,枯叶风暴,こがらしあらし,kuyefengbao,kyfb
Wildbolt Storm,鸣雷风暴,かみなりあらし,mingleifengbao,mlfb
Sandsear Storm,热沙风暴,ねっさのあらし,reshafengbao,rsfb
Lunar Blessing,新月祈祷,みかづきのいのり,xinyueqidao,xyqd
Take Heart,勇气填充,ブレイブチャージ,yongqitianchong,yqtc
Tera Blast,太晶爆发,テラバースト,taijingbaofa,tjbf
Silk Trap,线阱,スレッドトラップ,xianjing,xj
Axe Kick,下压踢,かかとおとし,xiayati,xyt
Last Respects,扫墓,おはかまいり,saomu,sm
Lumina Crash,琉光冲激,ルミナコリジョン,liuguangchongji,lgcj
Order Up,上菜,いっちょうあがり,shangcai,sc
Jet Punch,喷射拳,ジェットパンチ,penshequan,psq
Spicy Extract,辣椒精华,ハバネロエキス,lajiaojinghua,ljjh
Spin Out,疾速转轮,ホイールスピン,jisuzhuanlun,jszl
Population Bomb,鼠数儿,ネズミざん,shushuer,sse
Ice Spinner,冰旋,アイススピナー,bingxuan,bx
Glaive Rush,巨剑突击,きょけんとつげき,jujiantuji,jjtj
Revival Blessing,复生祈祷,さいきのいのり,fushengqidao,fsqd
Salt Cure,盐腌,しおづけ,yanyan,yy
Triple Dive,三连钻,トリプルダイブ,sanlianzuan,slz
Mortal Spin,晶光转转,キラースピン,jingguangzhuanzhuan,jgzz
Doodle,描绘,うつしえ,miaohui,mh
Fillet Away,甩肉,みをけずる,shuairou,sr
Kowtow Cleave,仆刀,ドゲザン,pudao,pd
Flower Trick,千变万花,トリックフラワー,qianbian[wan mo]hua,qb[mh
Torch Song,闪焰高歌,フレアソング,shanyangaoge,sygg
Aqua Step,流水旋舞,アクアステップ,liushuixuanwu,lsxw
Raging Bull,怒牛,レイジングブル,nuniu,nn
Make It Rain,淘金潮,ゴールドラッシュ,taojinchao,tjc
